,,,,,FILL THESE COLUMNS FOR ALL VARIABLES,,,,,,ONLY NEEDED FOR NOISED VARIABLES,,,,,
Implemented,study-id,result-ids,variable-id,desc,query type,query notes,noised,reg-role,interaction variable?,constructed from microdata by authors,data-dependent-bounds,component-variables,data domain,data type,dataset publisher,dataset
1,williams-2022,"lynchcapitamob-Blackrate_regvoters, lynchcapitamob-Blackrate_regvoters2",Blackrate_regvoters,Blackrate_regvoters = register_black/Black_POP*100,count / count,,1,dep,0,0,,"Black_POP, register_black","ballot, race/ethnicity",Blended,"Secretaries of State in AL, FL, GA, LA, NC, SC; National Cancer Institute","Surveillance, Epidemiology, and End Results Program (SEER)"
1,williams-2022,lynchcapitawhite-Whiterate_regvoters,Whiterate_regvoters,Whiterate_regvoters = register_white/White_POP*100,count / count,,1,dep,0,0,,"White_POP, register_white","ballot, race/ethnicity",Blended,"Secretaries of State in AL, FL, GA, LA, NC, SC; National Cancer Institute","Surveillance, Epidemiology, and End Results Program (SEER)"
1,williams-2022,lynchcapitamob-Blackrate_regvoters2,incarceration_2010,incarceration rate of blacks per 10k pop,,"can't do this one, black pop doesn't exist in this file",0,,0,0,,,"crime, race/ethnicity",Blended,Vera Institute of Justice,Incarceration Trends
1,williams-2022,lynchcapitamob-Blackrate_regvoters2,pollscapita,(polls/Total_POP_2010)*10000,count / count,,1,control,0,0,,"h7x002, h7x003, polls",ballot,Blended,"Secretaries of State in AL, FL, GA, LA, NC, SC; National Cancer Institute","Surveillance, Epidemiology, and End Results Program (SEER)"
1,williams-2022,lynchcapitamob-Blackrate_regvoters2,Black_beyondhs,proportion with some college,sum of counts / sum of counts,,1,control,0,0,,"grw018, grw019, grw020, grw021, grw022, grw023, grw024, grw025, grw026, grw027, grw028","race/ethnicity, education",Survey,IPUMS,National Historical Geographic Information System (NHGIS)
1,williams-2022,lynchcapitamob-Blackrate_regvoters2,Black_avgage,median age of blacks,median,NOTE: assuming age can be at most 120; then median has global sensitivity 60,1,control,0,0,,Black_avgage,"race/ethnicity, age",Survey,IPUMS,National Historical Geographic Information System (NHGIS)
1,williams-2022,lynchcapitamob-Blackrate_regvoters2,Black_Earnings,monthly earnings of Blacks,,"can't do this one, black pop doesn't exist in this file",0,control,0,0,,,"race/ethnicity, income",Blended,Census Bureau,Earnings Quarterly Workforce Indicators
1,williams-2022,lynchcapitamob-Blackrate_regvoters2,share_maritalblacks,(j0ye004 + j0ye005 + j0ye010 + j0ye011)/j0ye001;,sum of counts / count,,1,control,0,0,,"j0ye004, j0ye005, j0ye010, j0ye011, j0ye001",,Blended,IPUMS,National Historical Geographic Information System (NHGIS)
1,williams-2022,"lynchcapitamob-Blackrate_regvoters, lynchcapitamob-Blackrate_regvoters2",lynchcapitamob,,,"1900 census, not considered necessary to implement",0,ind,0,0,,"POP_1900_NHGIS, lynchingmob",,,Historical American Lynching Data Collection Project,
1,williams-2022,lynchcapitawhite-Whiterate_regvoters,lynchcapitawhite,,,"1900 census, not implemented",0,ind,0,0,,lynchingmobwhite,,,Historical American Lynching Data Collection Project,
1,williams-2022,all,Black_share_illiterate,,,"1910 census, not implemented",0,control,0,0,,"Black_illiterate, Black_votingage",,,IPUMS,National Historical Geographic Information System (NHGIS)
1,jack-2023,all,participate_denom,denominator used to calculate participation rate (Grades 3-8 enrollment counts),count,,1,control,0,0,,participate_denom,age,Administrative,Multiple state sources,
1,jack-2023,all,participation,test participation rate,count / count,,1,control,0,0,,participation_num,"age, education",Administrative,Multiple state sources,
1,jack-2023,all,pass,average pass rate across grades weighted by enrollment,count / count,,1,dep,0,0,,"pass_num, participation_num","age, education",Administrative,Multiple state sources,
1,jack-2023,all,share_white,share of students who are white calculated from NCES data,count / count,,1,control,0,0,,"white, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,all,share_black,share of students who are Black calculated from NCES data,count / count,,1,control,0,0,,"black, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,all,share_hisp,share of students who are Hispanic calculated from NCES data,count / count,,1,control,0,0,,"hisp, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,all,share_lunch_updated,share of students who received free and reduced price lunch (FRPL),count / count,,1,control,0,0,,"lunch_updated, EnrollmentTotal","age, income",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,all,share_ELL_updated,share of students who are english language learners (ELL) calculated from NCES,count / count,,1,control,0,0,,"ELL_updated, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,all,EnrollmentTotal,student enrollment counts from the NCES data,count,,1,weights,0,0,,EnrollmentTotal,age,Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,all,unemployment,county-level unemployment rates from the Bureau of Labor Statistics,count / count,"missing county pop, so can't do sensitivity analysis",0,control,0,0,,,employment/occupation,Blended,Bureau of Labor Statistics,County-level Unemployment Data
1,jack-2023,"black_yr_ip-math, black_yr_ip-ela",c_black_yr_ip,share_`var'*inperson_2021,count / count * count / count,,1,control,1,0,,"black, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,"black_yr_ip-math, black_yr_ip-ela",c_black_yr_hybrid,share_`var'*hybrid_2021,count / count * count / count,,1,control,1,0,,"black, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,"black_yr_ip-math, black_yr_ip-ela",c_black_ip,share_`var' * share_inperson,count / count * count / count,,1,control,1,0,,"black, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,"black_yr_ip-math, black_yr_ip-ela",c_black_hybrid,share_`var'*share_hybrid,count / count * count / count,,1,control,1,0,,"black, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,"hisp_yr_ip-math, hisp_yr_ip-ela",c_hisp_yr_ip,share_`var'*inperson_2021,count / count * count / count,,1,control,1,0,,"hisp, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,"hisp_yr_ip-math, hisp_yr_ip-ela",c_hisp_yr_hybrid,share_`var'*hybrid_2021,count / count * count / count,,1,control,1,0,,"hisp, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,"hisp_yr_ip-math, hisp_yr_ip-ela",c_hisp_ip,share_`var' * share_inperson,count / count * count / count,,1,control,1,0,,"hisp, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,jack-2023,"hisp_yr_ip-math, hisp_yr_ip-ela",c_hisp_hybrid,share_`var'*share_hybrid,count / count * count / count,,1,control,1,0,,"hisp, EnrollmentTotal","age, race/ethnicity",Administrative,National Center for Education Statistics,Common Core of Data
1,dieterle-2020,ln_ui-ln_unemp,ln_unemp,ln_unemp=ln(unemp_r),log (count / count),,1,dep,0,0,,"emppop, unemp",employment/occupation,Estimates,Bureau of Labor Statistics,Local Area Unemployment Statistics (LAUS)
