"name","value","note","date"
"ciCoverageEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","32.2\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","32\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","5.5\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","5\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","6.9\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","7\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","4.0\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","4\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","4.7\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","5\%",NA,2026-09-04
"epiParityAPointOneHBAlphaOne","98.2\%",NA,2026-09-04
"epiParityRoundedAPointOneHBAlphaOne","98\%",NA,2026-09-04
"epiDisparityAPointOneHBAlphaOne","1.8\%",NA,2026-09-04
"epiDisparityRoundedAPointOneHBAlphaOne","2\%",NA,2026-09-04
"epiParityAPointOneMLAlphaOne","81.8\%",NA,2026-09-04
"epiParityRoundedAPointOneMLAlphaOne","82\%",NA,2026-09-04
"epiDisparityAPointOneMLAlphaOne","18.2\%",NA,2026-09-04
"epiDisparityRoundedAPointOneMLAlphaOne","18\%",NA,2026-09-04
"epiSignParityAPointOneHBAlphaOne","98.7\%",NA,2026-09-04
"epiSignParityRoundedAPointOneHBAlphaOne","99\%",NA,2026-09-04
"epiSignDisparityAPointOneHBAlphaOne","1.3\%",NA,2026-09-04
"epiSignDisparityRoundedAPointOneHBAlphaOne","1\%",NA,2026-09-04
"epiSignParityAPointOneMLAlphaOne","81.1\%",NA,2026-09-04
"epiSignParityRoundedAPointOneMLAlphaOne","81\%",NA,2026-09-04
"epiSignDisparityAPointOneMLAlphaOne","18.9\%",NA,2026-09-04
"epiSignDisparityRoundedAPointOneMLAlphaOne","19\%",NA,2026-09-04
"ciCoverageAPointOneHBAlphaOne","100.0\%",NA,2026-09-04
"ciCoverageRoundedAPointOneHBAlphaOne","100\%",NA,2026-09-04
"ciCoverageAPointOneMLAlphaOne","87.0\%",NA,2026-09-04
"ciCoverageRoundedAPointOneMLAlphaOne","87\%",NA,2026-09-04
"epiSignParityFPRAPointOneHBAlphaOne","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedAPointOneHBAlphaOne","0\%",NA,2026-09-04
"epiSignParityFPRAPointOneMLAlphaOne","3.3\%",NA,2026-09-04
"epiSignParityFPRRoundedAPointOneMLAlphaOne","3\%",NA,2026-09-04
"signFlipAPointOneHBAlphaOne","0.0\%",NA,2026-09-04
"signFlipRoundedAPointOneHBAlphaOne","0\%",NA,2026-09-04
"signFlipAPointOneMLAlphaOne","2.0\%",NA,2026-09-04
"signFlipRoundedAPointOneMLAlphaOne","2\%",NA,2026-09-04
"epiParityAPointOneHBAlphaFive","96.9\%",NA,2026-09-04
"epiParityRoundedAPointOneHBAlphaFive","97\%",NA,2026-09-04
"epiDisparityAPointOneHBAlphaFive","3.1\%",NA,2026-09-04
"epiDisparityRoundedAPointOneHBAlphaFive","3\%",NA,2026-09-04
"epiParityAPointOneMLAlphaFive","83.5\%",NA,2026-09-04
"epiParityRoundedAPointOneMLAlphaFive","84\%",NA,2026-09-04
"epiDisparityAPointOneMLAlphaFive","16.5\%",NA,2026-09-04
"epiDisparityRoundedAPointOneMLAlphaFive","16\%",NA,2026-09-04
"epiSignParityAPointOneHBAlphaFive","96.7\%",NA,2026-09-04
"epiSignParityRoundedAPointOneHBAlphaFive","97\%",NA,2026-09-04
"epiSignDisparityAPointOneHBAlphaFive","3.3\%",NA,2026-09-04
"epiSignDisparityRoundedAPointOneHBAlphaFive","3\%",NA,2026-09-04
"epiSignParityAPointOneMLAlphaFive","83.4\%",NA,2026-09-04
"epiSignParityRoundedAPointOneMLAlphaFive","83\%",NA,2026-09-04
"epiSignDisparityAPointOneMLAlphaFive","16.6\%",NA,2026-09-04
"epiSignDisparityRoundedAPointOneMLAlphaFive","17\%",NA,2026-09-04
"ciCoverageAPointOneHBAlphaFive","99.8\%",NA,2026-09-04
"ciCoverageRoundedAPointOneHBAlphaFive","100\%",NA,2026-09-04
"ciCoverageAPointOneMLAlphaFive","85.8\%",NA,2026-09-04
"ciCoverageRoundedAPointOneMLAlphaFive","86\%",NA,2026-09-04
"epiSignParityFPRAPointOneHBAlphaFive","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedAPointOneHBAlphaFive","0\%",NA,2026-09-04
"epiSignParityFPRAPointOneMLAlphaFive","2.9\%",NA,2026-09-04
"epiSignParityFPRRoundedAPointOneMLAlphaFive","3\%",NA,2026-09-04
"signFlipAPointOneHBAlphaFive","0.0\%",NA,2026-09-04
"signFlipRoundedAPointOneHBAlphaFive","0\%",NA,2026-09-04
"signFlipAPointOneMLAlphaFive","1.9\%",NA,2026-09-04
"signFlipRoundedAPointOneMLAlphaFive","2\%",NA,2026-09-04
"epiParityAPointOneHBAlphaTen","99.0\%",NA,2026-09-04
"epiParityRoundedAPointOneHBAlphaTen","99\%",NA,2026-09-04
"epiDisparityAPointOneHBAlphaTen","1.0\%",NA,2026-09-04
"epiDisparityRoundedAPointOneHBAlphaTen","1\%",NA,2026-09-04
"epiParityAPointOneMLAlphaTen","86.1\%",NA,2026-09-04
"epiParityRoundedAPointOneMLAlphaTen","86\%",NA,2026-09-04
"epiDisparityAPointOneMLAlphaTen","13.9\%",NA,2026-09-04
"epiDisparityRoundedAPointOneMLAlphaTen","14\%",NA,2026-09-04
"epiSignParityAPointOneHBAlphaTen","98.4\%",NA,2026-09-04
"epiSignParityRoundedAPointOneHBAlphaTen","98\%",NA,2026-09-04
"epiSignDisparityAPointOneHBAlphaTen","1.6\%",NA,2026-09-04
"epiSignDisparityRoundedAPointOneHBAlphaTen","2\%",NA,2026-09-04
"epiSignParityAPointOneMLAlphaTen","86.0\%",NA,2026-09-04
"epiSignParityRoundedAPointOneMLAlphaTen","86\%",NA,2026-09-04
"epiSignDisparityAPointOneMLAlphaTen","14.0\%",NA,2026-09-04
"epiSignDisparityRoundedAPointOneMLAlphaTen","14\%",NA,2026-09-04
"ciCoverageAPointOneHBAlphaTen","99.8\%",NA,2026-09-04
"ciCoverageRoundedAPointOneHBAlphaTen","100\%",NA,2026-09-04
"ciCoverageAPointOneMLAlphaTen","84.8\%",NA,2026-09-04
"ciCoverageRoundedAPointOneMLAlphaTen","85\%",NA,2026-09-04
"epiSignParityFPRAPointOneHBAlphaTen","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedAPointOneHBAlphaTen","0\%",NA,2026-09-04
"epiSignParityFPRAPointOneMLAlphaTen","3.6\%",NA,2026-09-04
"epiSignParityFPRRoundedAPointOneMLAlphaTen","4\%",NA,2026-09-04
"signFlipAPointOneHBAlphaTen","0.0\%",NA,2026-09-04
"signFlipRoundedAPointOneHBAlphaTen","0\%",NA,2026-09-04
"signFlipAPointOneMLAlphaTen","2.8\%",NA,2026-09-04
"signFlipRoundedAPointOneMLAlphaTen","3\%",NA,2026-09-04
"epiParityAOneHBAlphaOne","95.0\%",NA,2026-09-04
"epiParityRoundedAOneHBAlphaOne","95\%",NA,2026-09-04
"epiDisparityAOneHBAlphaOne","5.0\%",NA,2026-09-04
"epiDisparityRoundedAOneHBAlphaOne","5\%",NA,2026-09-04
"epiParityAOneMLAlphaOne","66.4\%",NA,2026-09-04
"epiParityRoundedAOneMLAlphaOne","66\%",NA,2026-09-04
"epiDisparityAOneMLAlphaOne","33.6\%",NA,2026-09-04
"epiDisparityRoundedAOneMLAlphaOne","34\%",NA,2026-09-04
"epiSignParityAOneHBAlphaOne","94.6\%",NA,2026-09-04
"epiSignParityRoundedAOneHBAlphaOne","95\%",NA,2026-09-04
"epiSignDisparityAOneHBAlphaOne","5.4\%",NA,2026-09-04
"epiSignDisparityRoundedAOneHBAlphaOne","5\%",NA,2026-09-04
"epiSignParityAOneMLAlphaOne","65.0\%",NA,2026-09-04
"epiSignParityRoundedAOneMLAlphaOne","65\%",NA,2026-09-04
"epiSignDisparityAOneMLAlphaOne","35.0\%",NA,2026-09-04
"epiSignDisparityRoundedAOneMLAlphaOne","35\%",NA,2026-09-04
"ciCoverageAOneHBAlphaOne","99.0\%",NA,2026-09-04
"ciCoverageRoundedAOneHBAlphaOne","99\%",NA,2026-09-04
"ciCoverageAOneMLAlphaOne","76.6\%",NA,2026-09-04
"ciCoverageRoundedAOneMLAlphaOne","77\%",NA,2026-09-04
"epiSignParityFPRAOneHBAlphaOne","0.1\%",NA,2026-09-04
"epiSignParityFPRRoundedAOneHBAlphaOne","0\%",NA,2026-09-04
"epiSignParityFPRAOneMLAlphaOne","2.2\%",NA,2026-09-04
"epiSignParityFPRRoundedAOneMLAlphaOne","2\%",NA,2026-09-04
"signFlipAOneHBAlphaOne","0.0\%",NA,2026-09-04
"signFlipRoundedAOneHBAlphaOne","0\%",NA,2026-09-04
"signFlipAOneMLAlphaOne","2.6\%",NA,2026-09-04
"signFlipRoundedAOneMLAlphaOne","3\%",NA,2026-09-04
"epiParityAOneHBAlphaFive","93.7\%",NA,2026-09-04
"epiParityRoundedAOneHBAlphaFive","94\%",NA,2026-09-04
"epiDisparityAOneHBAlphaFive","6.3\%",NA,2026-09-04
"epiDisparityRoundedAOneHBAlphaFive","6\%",NA,2026-09-04
"epiParityAOneMLAlphaFive","70.3\%",NA,2026-09-04
"epiParityRoundedAOneMLAlphaFive","70\%",NA,2026-09-04
"epiDisparityAOneMLAlphaFive","29.7\%",NA,2026-09-04
"epiDisparityRoundedAOneMLAlphaFive","30\%",NA,2026-09-04
"epiSignParityAOneHBAlphaFive","93.1\%",NA,2026-09-04
"epiSignParityRoundedAOneHBAlphaFive","93\%",NA,2026-09-04
"epiSignDisparityAOneHBAlphaFive","6.9\%",NA,2026-09-04
"epiSignDisparityRoundedAOneHBAlphaFive","7\%",NA,2026-09-04
"epiSignParityAOneMLAlphaFive","69.1\%",NA,2026-09-04
"epiSignParityRoundedAOneMLAlphaFive","69\%",NA,2026-09-04
"epiSignDisparityAOneMLAlphaFive","30.9\%",NA,2026-09-04
"epiSignDisparityRoundedAOneMLAlphaFive","31\%",NA,2026-09-04
"ciCoverageAOneHBAlphaFive","98.2\%",NA,2026-09-04
"ciCoverageRoundedAOneHBAlphaFive","98\%",NA,2026-09-04
"ciCoverageAOneMLAlphaFive","71.8\%",NA,2026-09-04
"ciCoverageRoundedAOneMLAlphaFive","72\%",NA,2026-09-04
"epiSignParityFPRAOneHBAlphaFive","0.1\%",NA,2026-09-04
"epiSignParityFPRRoundedAOneHBAlphaFive","0\%",NA,2026-09-04
"epiSignParityFPRAOneMLAlphaFive","4.6\%",NA,2026-09-04
"epiSignParityFPRRoundedAOneMLAlphaFive","5\%",NA,2026-09-04
"signFlipAOneHBAlphaFive","0.0\%",NA,2026-09-04
"signFlipRoundedAOneHBAlphaFive","0\%",NA,2026-09-04
"signFlipAOneMLAlphaFive","4.8\%",NA,2026-09-04
"signFlipRoundedAOneMLAlphaFive","5\%",NA,2026-09-04
"epiParityAOneHBAlphaTen","95.8\%",NA,2026-09-04
"epiParityRoundedAOneHBAlphaTen","96\%",NA,2026-09-04
"epiDisparityAOneHBAlphaTen","4.2\%",NA,2026-09-04
"epiDisparityRoundedAOneHBAlphaTen","4\%",NA,2026-09-04
"epiParityAOneMLAlphaTen","72.9\%",NA,2026-09-04
"epiParityRoundedAOneMLAlphaTen","73\%",NA,2026-09-04
"epiDisparityAOneMLAlphaTen","27.1\%",NA,2026-09-04
"epiDisparityRoundedAOneMLAlphaTen","27\%",NA,2026-09-04
"epiSignParityAOneHBAlphaTen","95.3\%",NA,2026-09-04
"epiSignParityRoundedAOneHBAlphaTen","95\%",NA,2026-09-04
"epiSignDisparityAOneHBAlphaTen","4.7\%",NA,2026-09-04
"epiSignDisparityRoundedAOneHBAlphaTen","5\%",NA,2026-09-04
"epiSignParityAOneMLAlphaTen","72.3\%",NA,2026-09-04
"epiSignParityRoundedAOneMLAlphaTen","72\%",NA,2026-09-04
"epiSignDisparityAOneMLAlphaTen","27.7\%",NA,2026-09-04
"epiSignDisparityRoundedAOneMLAlphaTen","28\%",NA,2026-09-04
"ciCoverageAOneHBAlphaTen","97.4\%",NA,2026-09-04
"ciCoverageRoundedAOneHBAlphaTen","97\%",NA,2026-09-04
"ciCoverageAOneMLAlphaTen","69.3\%",NA,2026-09-04
"ciCoverageRoundedAOneMLAlphaTen","69\%",NA,2026-09-04
"epiSignParityFPRAOneHBAlphaTen","0.2\%",NA,2026-09-04
"epiSignParityFPRRoundedAOneHBAlphaTen","0\%",NA,2026-09-04
"epiSignParityFPRAOneMLAlphaTen","5.6\%",NA,2026-09-04
"epiSignParityFPRRoundedAOneMLAlphaTen","6\%",NA,2026-09-04
"signFlipAOneHBAlphaTen","0.0\%",NA,2026-09-04
"signFlipRoundedAOneHBAlphaTen","0\%",NA,2026-09-04
"signFlipAOneMLAlphaTen","5.9\%",NA,2026-09-04
"signFlipRoundedAOneMLAlphaTen","6\%",NA,2026-09-04
"epiParityAFiveHBAlphaOne","84.5\%",NA,2026-09-04
"epiParityRoundedAFiveHBAlphaOne","85\%",NA,2026-09-04
"epiDisparityAFiveHBAlphaOne","15.5\%",NA,2026-09-04
"epiDisparityRoundedAFiveHBAlphaOne","15\%",NA,2026-09-04
"epiParityAFiveMLAlphaOne","52.6\%",NA,2026-09-04
"epiParityRoundedAFiveMLAlphaOne","53\%",NA,2026-09-04
"epiDisparityAFiveMLAlphaOne","47.4\%",NA,2026-09-04
"epiDisparityRoundedAFiveMLAlphaOne","47\%",NA,2026-09-04
"epiSignParityAFiveHBAlphaOne","85.0\%",NA,2026-09-04
"epiSignParityRoundedAFiveHBAlphaOne","85\%",NA,2026-09-04
"epiSignDisparityAFiveHBAlphaOne","15.0\%",NA,2026-09-04
"epiSignDisparityRoundedAFiveHBAlphaOne","15\%",NA,2026-09-04
"epiSignParityAFiveMLAlphaOne","51.9\%",NA,2026-09-04
"epiSignParityRoundedAFiveMLAlphaOne","52\%",NA,2026-09-04
"epiSignDisparityAFiveMLAlphaOne","48.1\%",NA,2026-09-04
"epiSignDisparityRoundedAFiveMLAlphaOne","48\%",NA,2026-09-04
"ciCoverageAFiveHBAlphaOne","92.5\%",NA,2026-09-04
"ciCoverageRoundedAFiveHBAlphaOne","92\%",NA,2026-09-04
"ciCoverageAFiveMLAlphaOne","61.9\%",NA,2026-09-04
"ciCoverageRoundedAFiveMLAlphaOne","62\%",NA,2026-09-04
"epiSignParityFPRAFiveHBAlphaOne","0.4\%",NA,2026-09-04
"epiSignParityFPRRoundedAFiveHBAlphaOne","0\%",NA,2026-09-04
"epiSignParityFPRAFiveMLAlphaOne","3.9\%",NA,2026-09-04
"epiSignParityFPRRoundedAFiveMLAlphaOne","4\%",NA,2026-09-04
"signFlipAFiveHBAlphaOne","0.2\%",NA,2026-09-04
"signFlipRoundedAFiveHBAlphaOne","0\%",NA,2026-09-04
"signFlipAFiveMLAlphaOne","4.1\%",NA,2026-09-04
"signFlipRoundedAFiveMLAlphaOne","4\%",NA,2026-09-04
"epiParityAFiveHBAlphaFive","84.9\%",NA,2026-09-04
"epiParityRoundedAFiveHBAlphaFive","85\%",NA,2026-09-04
"epiDisparityAFiveHBAlphaFive","15.1\%",NA,2026-09-04
"epiDisparityRoundedAFiveHBAlphaFive","15\%",NA,2026-09-04
"epiParityAFiveMLAlphaFive","53.0\%",NA,2026-09-04
"epiParityRoundedAFiveMLAlphaFive","53\%",NA,2026-09-04
"epiDisparityAFiveMLAlphaFive","47.0\%",NA,2026-09-04
"epiDisparityRoundedAFiveMLAlphaFive","47\%",NA,2026-09-04
"epiSignParityAFiveHBAlphaFive","85.4\%",NA,2026-09-04
"epiSignParityRoundedAFiveHBAlphaFive","85\%",NA,2026-09-04
"epiSignDisparityAFiveHBAlphaFive","14.6\%",NA,2026-09-04
"epiSignDisparityRoundedAFiveHBAlphaFive","15\%",NA,2026-09-04
"epiSignParityAFiveMLAlphaFive","52.6\%",NA,2026-09-04
"epiSignParityRoundedAFiveMLAlphaFive","53\%",NA,2026-09-04
"epiSignDisparityAFiveMLAlphaFive","47.4\%",NA,2026-09-04
"epiSignDisparityRoundedAFiveMLAlphaFive","47\%",NA,2026-09-04
"ciCoverageAFiveHBAlphaFive","89.3\%",NA,2026-09-04
"ciCoverageRoundedAFiveHBAlphaFive","89\%",NA,2026-09-04
"ciCoverageAFiveMLAlphaFive","55.1\%",NA,2026-09-04
"ciCoverageRoundedAFiveMLAlphaFive","55\%",NA,2026-09-04
"epiSignParityFPRAFiveHBAlphaFive","1.2\%",NA,2026-09-04
"epiSignParityFPRRoundedAFiveHBAlphaFive","1\%",NA,2026-09-04
"epiSignParityFPRAFiveMLAlphaFive","6.0\%",NA,2026-09-04
"epiSignParityFPRRoundedAFiveMLAlphaFive","6\%",NA,2026-09-04
"signFlipAFiveHBAlphaFive","0.4\%",NA,2026-09-04
"signFlipRoundedAFiveHBAlphaFive","0\%",NA,2026-09-04
"signFlipAFiveMLAlphaFive","5.7\%",NA,2026-09-04
"signFlipRoundedAFiveMLAlphaFive","6\%",NA,2026-09-04
"epiParityAFiveHBAlphaTen","86.6\%",NA,2026-09-04
"epiParityRoundedAFiveHBAlphaTen","87\%",NA,2026-09-04
"epiDisparityAFiveHBAlphaTen","13.4\%",NA,2026-09-04
"epiDisparityRoundedAFiveHBAlphaTen","13\%",NA,2026-09-04
"epiParityAFiveMLAlphaTen","55.6\%",NA,2026-09-04
"epiParityRoundedAFiveMLAlphaTen","56\%",NA,2026-09-04
"epiDisparityAFiveMLAlphaTen","44.4\%",NA,2026-09-04
"epiDisparityRoundedAFiveMLAlphaTen","44\%",NA,2026-09-04
"epiSignParityAFiveHBAlphaTen","87.3\%",NA,2026-09-04
"epiSignParityRoundedAFiveHBAlphaTen","87\%",NA,2026-09-04
"epiSignDisparityAFiveHBAlphaTen","12.7\%",NA,2026-09-04
"epiSignDisparityRoundedAFiveHBAlphaTen","13\%",NA,2026-09-04
"epiSignParityAFiveMLAlphaTen","55.4\%",NA,2026-09-04
"epiSignParityRoundedAFiveMLAlphaTen","55\%",NA,2026-09-04
"epiSignDisparityAFiveMLAlphaTen","44.6\%",NA,2026-09-04
"epiSignDisparityRoundedAFiveMLAlphaTen","45\%",NA,2026-09-04
"ciCoverageAFiveHBAlphaTen","87.2\%",NA,2026-09-04
"ciCoverageRoundedAFiveHBAlphaTen","87\%",NA,2026-09-04
"ciCoverageAFiveMLAlphaTen","50.6\%",NA,2026-09-04
"ciCoverageRoundedAFiveMLAlphaTen","51\%",NA,2026-09-04
"epiSignParityFPRAFiveHBAlphaTen","1.9\%",NA,2026-09-04
"epiSignParityFPRRoundedAFiveHBAlphaTen","2\%",NA,2026-09-04
"epiSignParityFPRAFiveMLAlphaTen","7.8\%",NA,2026-09-04
"epiSignParityFPRRoundedAFiveMLAlphaTen","8\%",NA,2026-09-04
"signFlipAFiveHBAlphaTen","0.6\%",NA,2026-09-04
"signFlipRoundedAFiveHBAlphaTen","1\%",NA,2026-09-04
"signFlipAFiveMLAlphaTen","7.1\%",NA,2026-09-04
"signFlipRoundedAFiveMLAlphaTen","7\%",NA,2026-09-04
"epiDisparityMarginalEpsOneHundredAOneGaussianAlphaTen","2.8",NA,2026-09-04
"epiDisparityMarginalRoundedEpsOneHundredAOneGaussianAlphaTen","3",NA,2026-09-04
"epiDisparityMarginalEpsOneHundredATwentyGaussianAlphaTen","1.0",NA,2026-09-04
"epiDisparityMarginalRoundedEpsOneHundredATwentyGaussianAlphaTen","1",NA,2026-09-04
"epiDisparityMarginalEpsTenAOneGaussianAlphaTen","4.0",NA,2026-09-04
"epiDisparityMarginalRoundedEpsTenAOneGaussianAlphaTen","4",NA,2026-09-04
"epiDisparityMarginalEpsTenATwentyGaussianAlphaTen","0.3",NA,2026-09-04
"epiDisparityMarginalRoundedEpsTenATwentyGaussianAlphaTen","0",NA,2026-09-04
"epiDisparityMarginalEpsOneAOneGaussianAlphaTen","7.6",NA,2026-09-04
"epiDisparityMarginalRoundedEpsOneAOneGaussianAlphaTen","8",NA,2026-09-04
"epiDisparityMarginalEpsOneATwentyGaussianAlphaTen","2.9",NA,2026-09-04
"epiDisparityMarginalRoundedEpsOneATwentyGaussianAlphaTen","3",NA,2026-09-04
"epiDisparityMarginalEpsPointOneAOneGaussianAlphaTen","19.2",NA,2026-09-04
"epiDisparityMarginalRoundedEpsPointOneAOneGaussianAlphaTen","19",NA,2026-09-04
"epiDisparityMarginalEpsPointOneATwentyGaussianAlphaTen","10.5",NA,2026-09-04
"epiDisparityMarginalRoundedEpsPointOneATwentyGaussianAlphaTen","11",NA,2026-09-04
"epiDisparityMarginalEpsPointZeroOneAOneGaussianAlphaTen","31.3",NA,2026-09-04
"epiDisparityMarginalRoundedEpsPointZeroOneAOneGaussianAlphaTen","31",NA,2026-09-04
"epiDisparityMarginalEpsPointZeroOneATwentyGaussianAlphaTen","17.4",NA,2026-09-04
"epiDisparityMarginalRoundedEpsPointZeroOneATwentyGaussianAlphaTen","17",NA,2026-09-04
"epiDisparityMarginalEpsPointZeroZeroOneAOneGaussianAlphaTen","42.0",NA,2026-09-04
"epiDisparityMarginalRoundedEpsPointZeroZeroOneAOneGaussianAlphaTen","42",NA,2026-09-04
"epiDisparityMarginalEpsPointZeroZeroOneATwentyGaussianAlphaTen","21.7",NA,2026-09-04
"epiDisparityMarginalRoundedEpsPointZeroZeroOneATwentyGaussianAlphaTen","22",NA,2026-09-04
"colMechEpsilon","8.9",NA,2026-09-04
"colMechGaussian","3.5",NA,2026-09-04
"colMechEpsilonGaussian","-0.4\log\epsilon",NA,2026-09-04
"colRegDOF","-0.0","NEGATIVE",2026-09-04
"colRegDep","17.2","NEGATIVE",2026-09-04
"colRegDepEpsilon","7.0",NA,2026-09-04
"colRegES","2.24","for a 0.1 increase/decrease, multiply by 100*0.1=10",2026-09-04
"colRegESEpsilon","0.53","for a 0.1 increase/decrease, multiply by 100*0.1=10",2026-09-04
"colClaimES","1.45","for a 0.1 increase/decrease, multiply by 100*0.1=10",2026-09-04
"colClaimESEpsilon","0.55","for a 0.1 increase/decrease, multiply by 100*0.1=10",2026-09-04
"colClaimInsig","24.6",NA,2026-09-04
"colClaimInterval","-9.3","NEGATIVE",2026-09-04
"colClaimSensitivity","3.8","NEGATIVE",2026-09-04
"colErrorES","2.02","for a 0.1 increase/decrease, multiply by 100*0.1=10",2026-09-04
"nMinResults","10","",2026-09-04
