"name","value","note","date"
"epiSignDisparityEpsOneThousandGaussianAlphaFive","3.3\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandGaussianAlphaFive","3\%",NA,2026-09-04
"epiSignParityEpsOneThousandLaplaceAlphaFive","97.4\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandLaplaceAlphaFive","97\%",NA,2026-09-04
"epiSignDisparityEpsOneThousandLaplaceAlphaFive","2.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandLaplaceAlphaFive","3\%",NA,2026-09-04
"ciCoverageEpsOneThousandGaussianAlphaFive","99.7\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandGaussianAlphaFive","100\%",NA,2026-09-04
"ciCoverageEpsOneThousandLaplaceAlphaFive","99.8\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandLaplaceAlphaFive","100\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandGaussianAlphaFive","0.2\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandGaussianAlphaFive","0\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandLaplaceAlphaFive","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandLaplaceAlphaFive","0\%",NA,2026-09-04
"signFlipEpsOneThousandGaussianAlphaFive","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandGaussianAlphaFive","0\%",NA,2026-09-04
"signFlipEpsOneThousandLaplaceAlphaFive","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandLaplaceAlphaFive","0\%",NA,2026-09-04
"epiParityEpsOneThousandGaussianAlphaTen","98.6\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandGaussianAlphaTen","99\%",NA,2026-09-04
"epiDisparityEpsOneThousandGaussianAlphaTen","1.4\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandGaussianAlphaTen","1\%",NA,2026-09-04
"epiParityEpsOneThousandLaplaceAlphaTen","99.2\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandLaplaceAlphaTen","99\%",NA,2026-09-04
"epiDisparityEpsOneThousandLaplaceAlphaTen","0.8\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandLaplaceAlphaTen","1\%",NA,2026-09-04
"epiSignParityEpsOneThousandGaussianAlphaTen","97.4\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandGaussianAlphaTen","97\%",NA,2026-09-04
"epiSignDisparityEpsOneThousandGaussianAlphaTen","2.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandGaussianAlphaTen","3\%",NA,2026-09-04
"epiSignParityEpsOneThousandLaplaceAlphaTen","98.3\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandLaplaceAlphaTen","98\%",NA,2026-09-04
"epiSignDisparityEpsOneThousandLaplaceAlphaTen","1.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandLaplaceAlphaTen","2\%",NA,2026-09-04
"ciCoverageEpsOneThousandGaussianAlphaTen","99.6\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandGaussianAlphaTen","100\%",NA,2026-09-04
"ciCoverageEpsOneThousandLaplaceAlphaTen","99.7\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandLaplaceAlphaTen","100\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandGaussianAlphaTen","0.3\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandGaussianAlphaTen","0\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandLaplaceAlphaTen","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandLaplaceAlphaTen","0\%",NA,2026-09-04
"signFlipEpsOneThousandGaussianAlphaTen","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandGaussianAlphaTen","0\%",NA,2026-09-04
"signFlipEpsOneThousandLaplaceAlphaTen","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandLaplaceAlphaTen","0\%",NA,2026-09-04
"epiParityEpsOneHundredGaussianAlphaOne","97.6\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredGaussianAlphaOne","98\%",NA,2026-09-04
"epiDisparityEpsOneHundredGaussianAlphaOne","2.4\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredGaussianAlphaOne","2\%",NA,2026-09-04
"epiParityEpsOneHundredLaplaceAlphaOne","97.7\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredLaplaceAlphaOne","98\%",NA,2026-09-04
"epiDisparityEpsOneHundredLaplaceAlphaOne","2.3\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredLaplaceAlphaOne","2\%",NA,2026-09-04
"epiSignParityEpsOneHundredGaussianAlphaOne","97.5\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredGaussianAlphaOne","97\%",NA,2026-09-04
"epiSignDisparityEpsOneHundredGaussianAlphaOne","2.5\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredGaussianAlphaOne","3\%",NA,2026-09-04
"epiSignParityEpsOneHundredLaplaceAlphaOne","97.8\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredLaplaceAlphaOne","98\%",NA,2026-09-04
"epiSignDisparityEpsOneHundredLaplaceAlphaOne","2.2\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredLaplaceAlphaOne","2\%",NA,2026-09-04
"ciCoverageEpsOneHundredGaussianAlphaOne","99.4\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredGaussianAlphaOne","99\%",NA,2026-09-04
"ciCoverageEpsOneHundredLaplaceAlphaOne","99.7\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredLaplaceAlphaOne","100\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredGaussianAlphaOne","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredGaussianAlphaOne","0\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredLaplaceAlphaOne","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredLaplaceAlphaOne","0\%",NA,2026-09-04
"signFlipEpsOneHundredGaussianAlphaOne","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneHundredGaussianAlphaOne","0\%",NA,2026-09-04
"signFlipEpsOneHundredLaplaceAlphaOne","0.0\%",NA,2026-09-04
